title,src,link
University of Idaho,/assets/img/u-of-i-logo-2018.svg,https://www.uidaho.edu/
Doris Duke Conservation Scholars Program Collaborative,/assets/img/DDCSP_Logo_COLLAB_logo.jpg,https://ddcsp-collaborative.org/
U.S. Bureau of Reclamation,/assets/img/bor_logo2.png,https://www.usbr.gov/
U.S. Geological Survey,/assets/img/USGS_logo.jpg,https://www.usgs.gov/
U.S. Fish and Wildlife Service,/assets/img/USFWS_logo.jpg,https://www.fws.gov/
Idaho Department of Fish and Game,/assets/img/IDFG_logo.jpg,https://idfg.idaho.gov/
Center for Digital Inquiry and Learning,/assets/img/cdil_logo2.png,https://cdil.lib.uidaho.edu/
University of Idaho Library,https://www.lib.uidaho.edu/media/images/ui_library_horizontal.png,https://www.lib.uidaho.edu/
